"","date","team","conf","opp","opp_conf","location","result","score","wab","quad"
"89",2023-11-06,"Incarnate Word","Slnd","Texas","B12","Away","L","88-56",-0.263726338520826,"Quadrant 1"
"90",2023-11-06,"Texas","B12","Incarnate Word","Slnd","Home","W","88-56",0.0158988620022729,"Quadrant 4"
"91",2023-11-06,"Iona","MAAC","College of Charleston","CAA","Away","L","71-69",-0.614113265422974,"Quadrant 2"
"92",2023-11-06,"College of Charleston","CAA","Iona","MAAC","Home","W","71-69",0.0869630773685701,"Quadrant 4"
"93",2023-11-06,"Jackson St.","SWAC","Memphis","Amer","Away","L","94-77",-0.520754226146488,"Quadrant 2"
"94",2023-11-06,"Memphis","Amer","Jackson St.","SWAC","Home","W","94-77",0.0364830742082649,"Quadrant 4"
"95",2023-11-06,"James Madison","SB","Michigan St.","B10","Away","W","79-76",0.798859348299965,"Quadrant 1"
"96",2023-11-06,"Michigan St.","B10","James Madison","SB","Home","L","79-76",-0.746639277425019,"Quadrant 2"
"97",2023-11-06,"Kansas St.","B12","USC","P12","Neutral","L","82-69",-0.699782780680859,"Quadrant 3"
"98",2023-11-06,"USC","P12","Kansas St.","B12","Neutral","W","82-69",0.387687479688013,"Quadrant 2"
"99",2023-11-06,"Lafayette","Pat","Saint Joseph's","A10","Away","L","81-60",-0.536021520309327,"Quadrant 2"
"100",2023-11-06,"Saint Joseph's","A10","Lafayette","Pat","Home","W","81-60",0.0296737755091688,"Quadrant 4"
"101",2023-11-06,"Lindenwood","OVC","Nebraska","B10","Away","L","84-52",-0.324485158065578,"Quadrant 1"
"102",2023-11-06,"Nebraska","B10","Lindenwood","OVC","Home","W","84-52",0.00835411678731157,"Quadrant 4"
"103",2023-11-06,"Lipscomb","ASun","Wichita St.","Amer","Away","L","76-59",-0.685605585121948,"Quadrant 3"
"104",2023-11-06,"Wichita St.","Amer","Lipscomb","ASun","Home","W","76-59",0.061867973385749,"Quadrant 4"
"105",2023-11-06,"Long Beach St.","BW","Portland","WCC","Away","L","78-73",-0.891361901220039,"Quadrant 4"
"106",2023-11-06,"Portland","WCC","Long Beach St.","BW","Home","W","78-73",0.0874690884835385,"Quadrant 3"
"107",2023-11-06,"Longwood","BSth","St. Bonaventure","A10","Away","L","73-69",-0.481183384372016,"Quadrant 1"
"108",2023-11-06,"St. Bonaventure","A10","Longwood","BSth","Home","W","73-69",0.0727497012560888,"Quadrant 4"
"109",2023-11-06,"Louisiana Monroe","SB","Houston","B12","Away","L","84-31",-0.0610664246758824,"Quadrant 1"
"110",2023-11-06,"Houston","B12","Louisiana Monroe","SB","Home","W","84-31",0.0338992551337562,"Quadrant 4"
"111",2023-11-06,"Louisiana Tech","CUSA","Colorado St.","MWC","Away","L","81-73",-0.295107798865117,"Quadrant 1"
"112",2023-11-06,"Colorado St.","MWC","Louisiana Tech","CUSA","Home","W","81-73",0.255848881148482,"Quadrant 3"
"113",2023-11-06,"Loyola MD","Pat","Florida","SEC","Away","L","93-73",-0.239260790903148,"Quadrant 1"
"114",2023-11-06,"Florida","SEC","Loyola MD","Pat","Home","W","93-73",0.0171089247239198,"Quadrant 4"
"115",2023-11-06,"Maine","AE","Charlotte","Amer","Away","L","69-52",-0.497867107763871,"Quadrant 2"
"116",2023-11-06,"Charlotte","Amer","Maine","AE","Home","W","69-52",0.0490367601313525,"Quadrant 4"
"117",2023-11-06,"Manhattan","MAAC","Bryant","AE","Away","W","61-59",0.278261664513626,"Quadrant 3"
"118",2023-11-06,"Bryant","AE","Manhattan","MAAC","Home","L","61-59",-0.980929841890464,"Quadrant 4"
"119",2023-11-06,"Marist","MAAC","Army","Pat","Away","W","71-55",0.0748744559534295,"Quadrant 4"
"120",2023-11-06,"Army","Pat","Marist","MAAC","Home","L","71-55",-0.931350215900768,"Quadrant 4"
"121",2023-11-06,"Maryland Eastern Shore","MEAC","Temple","Amer","Away","L","85-65",-0.809126972105672,"Quadrant 4"
"122",2023-11-06,"Temple","Amer","Maryland Eastern Shore","MEAC","Home","W","85-65",0.00980795953557878,"Quadrant 4"
"123",2023-11-06,"McNeese St.","Slnd","VCU","A10","Away","W","76-65",0.524699598676781,"Quadrant 1"
"124",2023-11-06,"VCU","A10","McNeese St.","Slnd","Home","L","76-65",-0.764150863302459,"Quadrant 2"
"125",2023-11-06,"Merrimack","NEC","Vermont","AE","Away","L","67-55",-0.59967604627559,"Quadrant 2"
"126",2023-11-06,"Vermont","AE","Merrimack","NEC","Home","W","67-55",0.0675382949714325,"Quadrant 4"
"127",2023-11-06,"Miami OH","MAC","Evansville","MVC","Away","L","72-64",-0.798684614360348,"Quadrant 3"
"128",2023-11-06,"Evansville","MVC","Miami OH","MAC","Home","W","72-64",0.0508402149403603,"Quadrant 4"
"129",2023-11-06,"Mississippi Valley St.","SWAC","LSU","SEC","Away","L","106-60",-0.454700946655668,"Quadrant 2"
"130",2023-11-06,"LSU","SEC","Mississippi Valley St.","SWAC","Home","W","106-60",0.00220904362621122,"Quadrant 4"
"131",2023-11-06,"Missouri St.","MVC","West Virginia","B12","Away","L","67-59",-0.681802935207326,"Quadrant 3"
"132",2023-11-06,"West Virginia","B12","Missouri St.","MVC","Home","W","67-59",0.104763963501452,"Quadrant 3"
"133",2023-11-06,"Monmouth","CAA","George Mason","A10","Away","L","72-61",-0.509000115407782,"Quadrant 2"
"134",2023-11-06,"George Mason","A10","Monmouth","CAA","Home","W","72-61",0.0817407142340288,"Quadrant 4"
"135",2023-11-06,"Morehead St.","OVC","Alabama","SEC","Away","L","105-73",-0.14493502086742,"Quadrant 1"
"136",2023-11-06,"Alabama","SEC","Morehead St.","OVC","Home","W","105-73",0.131432091908569,"Quadrant 3"
"137",2023-11-06,"Morgan St.","MEAC","Arizona","P12","Away","L","122-59",-0.115373270687788,"Quadrant 1"
"138",2023-11-06,"Arizona","P12","Morgan St.","MEAC","Home","W","122-59",0.0158749657699906,"Quadrant 4"
"139",2023-11-06,"NJIT","AE","Miami FL","ACC","Away","L","101-60",-0.431803419073848,"Quadrant 2"
"140",2023-11-06,"Miami FL","ACC","NJIT","AE","Home","W","101-60",0.0207009594036481,"Quadrant 4"
"141",2023-11-06,"Navy","Pat","Campbell","CAA","Away","L","59-48",-0.893423438532556,"Quadrant 4"
"142",2023-11-06,"Campbell","CAA","Navy","Pat","Home","W","59-48",0.0135898807459638,"Quadrant 4"
"143",2023-11-06,"New Hampshire","AE","Syracuse","ACC","Away","L","83-72",-0.506086031891096,"Quadrant 2"
"144",2023-11-06,"Syracuse","ACC","New Hampshire","AE","Home","W","83-72",0.0541816077639831,"Quadrant 4"
"145",2023-11-06,"New Mexico St.","CUSA","Kentucky","SEC","Away","L","86-46",-0.240748121573976,"Quadrant 1"
"146",2023-11-06,"Kentucky","SEC","New Mexico St.","CUSA","Home","W","86-46",0.0443833626524216,"Quadrant 4"
"147",2023-11-06,"Niagara","MAAC","Notre Dame","ACC","Away","L","70-63",-0.681350601556238,"Quadrant 3"
"148",2023-11-06,"Notre Dame","ACC","Niagara","MAAC","Home","W","70-63",0.0479625120123477,"Quadrant 4"
"149",2023-11-06,"Nicholls St.","Slnd","Tulane","Amer","Away","L","91-81",-0.653240062901465,"Quadrant 2"
"150",2023-11-06,"Tulane","Amer","Nicholls St.","Slnd","Home","W","91-81",0.0366053927063996,"Quadrant 4"
"151",2023-11-06,"North Carolina A&T","CAA","Pittsburgh","ACC","Away","L","100-52",-0.393699498256825,"Quadrant 1"
"152",2023-11-06,"Pittsburgh","ACC","North Carolina A&T","CAA","Home","W","100-52",0.0166336107348052,"Quadrant 4"
"153",2023-11-06,"North Carolina Central","MEAC","Kansas","B12","Away","L","99-56",-0.188911381861046,"Quadrant 1"
"154",2023-11-06,"Kansas","B12","North Carolina Central","MEAC","Home","W","99-56",0.0440940342055578,"Quadrant 4"
"155",2023-11-06,"North Dakota St.","Sum","Western Michigan","MAC","Away","W","80-76",0.0639025690330388,"Quadrant 4"
"156",2023-11-06,"Western Michigan","MAC","North Dakota St.","Sum","Home","L","80-76",-0.944877895398366,"Quadrant 4"
"157",2023-11-06,"Northern Arizona","BSky","Connecticut","BE","Away","L","95-52",-0.0922883498181115,"Quadrant 1"
"158",2023-11-06,"Connecticut","BE","Northern Arizona","BSky","Home","W","95-52",0.0232225992000131,"Quadrant 4"
"159",2023-11-06,"Northern Illinois","MAC","Marquette","BE","Away","L","92-70",-0.197754050431144,"Quadrant 1"
"160",2023-11-06,"Marquette","BE","Northern Illinois","MAC","Home","W","92-70",0.026055388774084,"Quadrant 4"
"161",2023-11-06,"Northern Kentucky","Horz","Middle Tennessee","CUSA","Away","L","74-57",-0.875162771363328,"Quadrant 4"
"162",2023-11-06,"Middle Tennessee","CUSA","Northern Kentucky","Horz","Home","W","74-57",0.069083238029038,"Quadrant 4"
"163",2023-11-06,"Oakland","Horz","Ohio St.","B10","Away","L","79-73",-0.398304850880466,"Quadrant 1"
"164",2023-11-06,"Ohio St.","B10","Oakland","Horz","Home","W","79-73",0.133109464373457,"Quadrant 3"
"165",2023-11-06,"Oral Roberts","Sum","UT Arlington","WAC","Away","L","75-71",-0.704934254103636,"Quadrant 3"
"166",2023-11-06,"UT Arlington","WAC","Oral Roberts","Sum","Home","W","75-71",0.0412762943941394,"Quadrant 4"
"167",2023-11-06,"Portland St.","BSky","Air Force","MWC","Away","W","62-55",0.186126264794562,"Quadrant 4"
